title,author,price,price (including used books),pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher
Data Analysis Using R (Low Priced Edition): A Primer for Data Scientist,Dr Dhaval Maheta,6.75,6.75,500,4.4,23,55,39,6,0,0,1547.5,1.1475886961,English,"Notion Press Media Pvt Ltd (November 22, 2021)"
"Head First Data Analysis: A learner's guide to big numbers, statistics, and good decisions",Not Provided,33.72, 21.49 - 33.72 ,484,4.3,124,61,20,9,4,6,1188.4,0.8890410452,English,"O'Reilly Media; 1st edition (August 18, 2009)"
Guerrilla Data Analysis Using Microsoft Excel: Overcoming Crap Data and Excel Skirmishes,Oz du Soleil and Bill Jelen,32.07,32.07,274,4.7,10,87,13,0,0,0,872.0,0.635029318,English,"Holy Macro! Books; Third edition (August 1, 2022)"
"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython",William McKinney,53.99,53.99,547,4.6,"1,686",75,16,5,2,2,1170.1,0.6667807839000001,English,"O'Reilly Media; 2nd edition (November 14, 2017)"
Excel Data Analysis For Dummies (For Dummies (Computer/Tech)),Paul McFedries,24.49,24.49,368,3.9,12,52,17,10,10,10,928.5,0.5896700810000001,English,"For Dummies; 5th edition (February 3, 2022)"
Everything Data Analytics: A Beginner's Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights,Not Provided,0,0,0,4.2,31,61,16,14,4,5,,,Not_Stated,Not Provided
SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights,Cathy Tanimura,40.49,40.49,360,4.6,72,75,18,2,2,2,725.9,0.544310844,English,"O'Reilly Media; 1st edition (October 5, 2021)"
Qualitative Data Analysis: A Methods Sourcebook,"Matthew B. Miles, A. Michael Huberman, et al.",90.0,90,408,4.7,205,84,9,4,2,0,1409.6,0.9752235955,English,"SAGE Publications, Inc; 4th edition (January 22, 2019)"
Topological Data Analysis with Applications,Gunnar Carlsson and Mikael Vejdemo-Johansson,54.19, 53.98 - 54.19 ,230,5.0,5,100,0,0,0,0,808.9,0.5805982336000001,English,"Cambridge University Press; 1st edition (March 24, 2022)"
"R in Action, Third Edition: Data analysis and graphics with R and Tidyverse",Robert I. Kabacoff,56.99, 47.97 - 56.99 ,656,4.3,14,78,11,11,0,0,1678.0,1.1884120094000001,English,"Manning; 3rd edition (May 3, 2022)"
"Listening to People: A Practical Guide to Interviewing, Participant Observation, Data Analysis, and Writing It All Up (Chicago Guides to Writing, Editing, and Publishing)",Not Provided,20.0,20,333,4.5,46,73,13,7,3,3,796.4,0.4581282937,English,"University of Chicago Press (October 15, 2021)"
SQL for Data Analytics: Perform efficient and fast data analysis with the power of SQL,Chad Knowles,15.97,15.97,106,4.9,201,91,8,1,0,0,212.4,0.2126214,English,"Independently published (September 21, 2022)"
Python for Beginners: 2 Books in 1: The Perfect Beginner's Guide to Learning How to Program with Python with a Crash Course + Workbook,"Programming Languages Academy, Matthew Kinsey, et al.",0,0,0,4.4,292,63,22,7,3,4,,,Not_Stated,Not Provided
"Data Analytics, Data Visualization & Communicating Data: 3 books in 1: Learn the Processes of Data Analytics and Data Science, Create Engaging Data ... Present Data Effectively (All Things Data)",Not Provided,28.6,28.6,528,4.6,20,81,11,7,0,0,1053.0,0.8754332741,English,"Kenneth M Fornari (November 10, 2022)"
Getting Started with Natural Language Processing,Ekaterina Kochmar,39.99,39.99,456,4.0,4,48,52,0,0,0,1230.5,0.7937866475,English,"Manning (October 18, 2022)"
"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL",Walter Shields,24.99,24.99,249,4.6,"1,358",72,18,7,1,2,648.0,0.43941756,English,"ClydeBank Media LLC; Illustrated edition (November 18, 2019)"
Monty Python And The Holy Grail,Not Provided,0,0,0,0,0,0,0,0,0,0,,,Not_Stated,Not Provided
Python in easy steps,Not Provided,10.69,10.69,192,4.6,386,74,14,8,2,2,534.6,0.430912704,English,"In Easy Steps Limited; 2nd edition (August 28, 2018)"
Python para Principiantes: 2 Libros en 1: Programación de Python para principiantes + Libro de trabajo de Python (Spanish Edition),Programming Languages Academy,19.38,19.38,234,4.4,56,73,8,10,4,4,469.0,0.323184528,Spanish,"Independently published (May 2, 2020)"
Quantum Machine Learning and Optimisation in Finance: On the Road to Quantum Advantage,"Antoine Jacquier, Oleksiy Kondratyev, et al.",49.99, 36.00 - 49.99 ,442,4.9,14,90,10,0,0,0,1136.9,0.7574992579000001,English,"Packt Publishing (October 31, 2022)"
Python Tricks: A Buffet of Awesome Python Features,Dan Bader,29.99,29.99,301,4.7,"1,330",76,17,5,1,1,601.7,0.405398136,English,"Dan Bader; 1st edition (October 25, 2017)"
Think Bayes: Bayesian Statistics in Python (O'reilly),Allen B. Downey,24.2,24.2,338,4.5,55,76,8,10,3,3,774.3,0.5397749203,English,"O'Reilly Media; 2nd edition (June 8, 2021)"
Monty Python and the Holy Grail (Special Edition),Not Provided,9.99,9.99,0,4.7,"10,103",85,8,3,1,2,,,"English, Japanese",Not Provided
Python Data Science Handbook: Essential Tools for Working with Data,Jake VanderPlas,68.59,68.59,550,0,0,0,0,0,0,0,1254.5,0.9253284348,English,"O'Reilly Media; 2nd edition (January 31, 2023)"
Data Science for Supply Chain Forecasting,Nicolas Vandeput,51.95, 47.10 - 51.95 ,280,4.6,69,73,15,10,2,0,719.2,0.5261671492,English,"De Gruyter; 2nd edition (March 22, 2021)"
"Python Tools for Scientists: An Introduction to Using Anaconda, JupyterLab, and Python's Scientific Libraries",Lee Vaughan,29.99,29.99,0,0,0,0,0,0,0,0,,,English,"No Starch Press (January 17, 2023)"
"Fluent Python: Clear, Concise, and Effective Programming",Luciano Ramalho,50.99, 25.50 - 50.99 ,1012,4.7,172,86,7,2,3,2,2122.1,0.1000738056,English,"O'Reilly Media; 2nd edition (May 10, 2022)"
Python Programming For Beginners: The Ultimate Crash Course to Learn Python Coding Quickly and Easily | Step-by-Step Guide With Hands-on Exercises & Beginners Projects,Leonard J. Ledger,15.97,15.97,88,4.9,264,94,4,1,2,0,306.4,0.280660248,English,"Independently published (September 24, 2022)"
Boa Vs. Python,Not Provided,0,0,0,0,0,0,0,0,0,0,,,Not_Stated,Not Provided
Practical Linear Algebra for Data Science: From Core Concepts to Applications Using Python,Mike Cohen,54.99,54.99,328,4.1,4,70,30,0,0,0,530.5,0.6803885550000001,English,"O'Reilly Media; 1st edition (October 18, 2022)"
Preparing For A Data Interview: Learn Enough Python For A Project Or An Interview,Jonelle Hoop,10.74,10.74,24,0,0,0,0,0,0,0,53.1,0.0861825408,English,"Independently published (December 10, 2022)"
Coding Games in Python (Computer Coding for Kids),DK,13.99,13.99,224,4.5,274,70,17,6,4,4,735.3,0.6985322498000001,English,"DK Children; Illustrated edition (July 3, 2018)"
Python for Everybody: Exploring Data in Python 3,"Charles R. Severance, Aimee Andrion, et al.",0.99,0.99,387,4.6,"2,568",76,16,5,2,2,,,English,Not Provided
Think Python: How to Think Like a Computer Scientist,Not Provided,28.99, 19.36 - 28.99 ,289,4.6,509,78,13,8,1,1,642.6,0.5170953018,English,"O'Reilly Media; 2nd edition (January 26, 2016)"
Python Programming for Beginners: Python Programming Creak Course to Get Python Coding Well & Quick,Donald P. Wilson,0,0,100,5.0,126,97,3,0,0,0,,,English,Not Provided
Python for Algorithmic Trading: From Idea to Cloud Deployment,Yves Hilpisch,44.49,44.49,380,4.3,102,67,14,9,5,5,939.5,0.1000738056,English,"O'Reilly Media; 1st edition (December 8, 2020)"
Python for Data Science: A Hands-On Introduction,Yuli Vasiliev,27.99,27.99,240,4.6,13,79,10,11,0,0,753.4,0.36854376,English,"No Starch Press (August 2, 2022)"
Practical Deep Learning: A Python-Based Introduction,Ronald T. Kneusel,36.99, 33.92 - 36.99 ,464,4.7,38,82,14,4,0,0,1209.3,0.8799691978,English,"No Starch Press (February 23, 2021)"
Murach's Python for Data Analysis (Training & Reference),Scott Mccoy,59.2, 45.49 - 59.20 ,559,4.4,26,68,21,5,6,0,1857.4,1.270058636,English,"Mike Murach & Associates Inc (August 30, 2021)"
Robust Python: Write Clean and Maintainable Code,Patrick Viafore,32.99,32.99,380,4.5,57,73,15,6,2,4,1032.4,0.6032778521000001,English,"O'Reilly Media; 1st edition (August 3, 2021)"
"EXCEL DATA ANALYSIS: THE ULTIMATE PRACTICAL GUIDE TO MASTERING DATA ANALYSIS USING EXCEL DATA & STATISTICAL TABLES, PIVOT TABLES, AND FINANCIAL ANALYSIS TOOLS",JOE WEBINAR,14.0,14,175,4.6,6,65,35,0,0,0,458.8,0.408233088,English,"Independently published (February 21, 2022)"
Learning Spark: Lightning-Fast Data Analytics,"Jules Damji, Brooke Wenig, et al.",40.99,40.99,397,4.7,171,80,16,2,2,1,1099.0,0.635029318,English,"O'Reilly Media; 2nd edition (August 25, 2020)"
Applied Text Analysis with Python: Enabling Language-Aware Data Products with Machine Learning,"Benjamin Bengfort, Rebecca Bilbro, et al.",44.99, 44.79 - 44.99 ,332,4.4,76,63,25,4,8,0,619.4,0.6667807839000001,English,"O'Reilly Media; 1st edition (July 17, 2018)"
"Time Series Analysis with Python Cookbook: Practical recipes for exploratory data analysis, data preparation, forecasting, and model evaluation",Tarek A. Atwan,49.99,49.99,630,4.8,16,78,22,0,0,0,1614.3,1.0704779932,English,"Packt Publishing (June 30, 2022)"
"Practical SQL, 2nd Edition: A Beginner's Guide to Storytelling with Data",Anthony DeBarros,27.99, 13.49 - 27.99 ,464,4.8,84,86,8,3,3,0,1103.5,0.9298643584999999,English,"No Starch Press; 2nd edition (January 25, 2022)"
Dyadic Data Analysis (Methodology in the Social Sciences),Not Provided,55.32, 50.99 - 55.32 ,458,4.4,24,73,12,7,7,0,831.8,0.6577089365000001,English,"The Guilford Press; 1st edition (November 26, 2020)"
Exploratory Data Analysis (Classic Version) (Pearson Modern Classic),John Tukey,105.99, 85.57 - 105.99 ,720,4.9,10,94,6,0,0,0,1697.0,1.088621688,English,"Pearson; 1st edition (April 18, 2019)"
Kafka: The Definitive Guide: Real-Time Data and Stream Processing at Scale,"Gwen Shapira, Todd Palino, et al.",31.99,31.99,488,4.8,100,81,16,3,0,0,1032.4,0.771107029,English,"O'Reilly Media; 2nd edition (November 30, 2021)"
An Introduction to Statistics and Data Analysis Using Stata: From Research Design to Final Report,Lisa Daniels and Nicholas W. Minot,75.24, 24.50 - 75.24 ,392,4.6,32,69,22,9,0,0,982.7,0.6894604024000001,English,"SAGE Publications, Inc; 1st edition (January 29, 2019)"
"Microsoft 365 Excel: The Only App That Matters: Calculations, Analytics, Modeling, Data Analysis and Dashboard Reporting for the New Era of Dynamic Data Driven Decision Making & Insight",Mike Girvin,34.95,34.95,824,5.0,63,100,0,0,0,0,2621.3,1.7916898615,English,"Holy Macro! Books (August 1, 2022)"
Naked Statistics: Stripping the Dread from the Data,Not Provided,1.69, 8.99 - 11.69 ,304,4.6,"2,362",72,19,6,2,1,591.2,0.20128159199999998,English,"W. W. Norton & Company; 1st edition (January 13, 2014)"
"Machine Learning: 4 Books in 1: The #1 Beginner's Guide to Master the Basics of Python Programming, Learn the Art of Data Science and Build Artificial Intelligence",Andrew Park and Russell Newton,0,0,0,4.7,290,83,10,3,1,3,,,Not_Stated,Not Provided
Software Architecture: The Hard Parts: Modern Trade-Off Analyses for Distributed Architectures,"Neal Ford, Mark Richards, et al.",30.99,30.99,459,4.6,232,76,14,5,2,2,795.8,0.7484274105,English,"O'Reilly Media; 1st edition (November 30, 2021)"
Analyzing Social Networks Using R,"Stephen P. Borgatti, Martin G. Everett, et al.",52.21, 51.45 - 52.21 ,384,5.0,1,100,0,0,0,0,832.3,0.6622448602000001,English,"SAGE Publications Ltd; 1st edition (July 20, 2022)"
"SQL: 3 books 1 - The Ultimate Beginner, Intermediate & Expert Guides To Master SQL Programming Quickly with Practical Exercises",Mark Reed,22.58, 19.99 - 22.58 ,346,4.6,281,77,13,5,3,2,894.7,0.6622448602000001,,"Independently published (July 10, 2022)"
Excel Pivot Tables: Basic Beginners Guide to Learn Excel Pivot Tables for Data Analysis and Modeling,"MG Martin, Peter Prova, et al.",0,0,0,4.0,58,53,23,8,16,0,,,Not_Stated,Not Provided
"Data Analysis with Python: Introducing NumPy, Pandas, Matplotlib, and Essential Elements of Python Programming (English Edition)",Rituraj Dixit,29.95,29.95,276,3.0,2,50,50,0,0,0,716.2,0.4808079122,English,"BPB Publications (August 20, 2022)"
"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud",Paul Deitel and Harvey Deitel,97.99, 91.00 - 97.99 ,880,4.7,297,82,10,2,3,2,1513.6,1.2836664071000001,English,"Pearson; 1st edition (February 15, 2019)"
"Hands-On Data Analysis with Pandas: Efficiently perform data collection, wrangling, analysis, and visualization using Python",Stefanie Molin,21.09,21.09,716,4.5,60,76,11,3,3,7,,,English,"Packt Publishing; 1st edition (July 26, 2019)"
Thematic Analysis: A Practical Guide,Virginia Braun and Victoria Clarke,48.99,48.99,376,4.9,229,90,7,2,1,0,1023.2,0.6395652417,English,"SAGE Publications Ltd; 1st edition (December 15, 2021)"
Statistics and Data Analysis for Financial Engineering: with R examples (Springer Texts in Statistics),Not Provided,71.91, 34.35 - 71.91 ,745,4.3,42,70,12,6,7,6,1445.6,13.698489574,English,"Springer; 2nd ed. 2015 edition (April 22, 2015)"
"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners",Al Sweigart,26.49,26.49,592,4.7,"2,672",82,12,3,1,1,1399.0,0.1000738056,English,"No Starch Press; 2nd edition (November 12, 2019)"
Data Structures and Algorithm Analysis in Java: International Edition,Mark Allen Weiss,69.0,69,640,4.4,101,73,12,5,5,5,1583.2,0.8391458845,English,"Pearson Education; International ed of 3rd revised ed edition (January 1, 2012)"
Business Analysis For Dummies,"Kupe Kupersmith, Paul Mulvey, et al.",18.39,18.39,384,4.4,527,70,14,10,3,3,1061.9,0.6849244787000001,English,"For Dummies; 1st edition (July 22, 2013)"
"Machine Learning Explained The Simple Way: A Beginners Guide to Learning Python for Data Science, Machine Learning and Ace your Data Science Interview With little Coding Experience.",Santos Ozoemena,11.97,11.97,216,5.0,21,100,0,0,0,0,516.2,0.45359237,English,"Independently published (October 31, 2022)"
CompTIA Data+ Study Guide: Exam DA0-001,Mike Chapple and Sharif Nijim,34.49,34.49,368,4.6,44,77,12,8,3,0,928.5,0.6123496995000001,English,"Sybex; 1st edition (March 25, 2022)"
RNA Sequencing: Principles and Data Analysis,Lara Ozkan,25.0, 15.99 - 25.00 ,118,4.4,23,60,27,7,6,0,183.5,0.130407792,English,"Independently published (May 1, 2020)"
Analysis of Panel Data (Econometric Society Monographs),Cheng Hsiao,45.98, 23.01 - 45.98 ,500,0,0,0,0,0,0,0,1231.6,0.9117206636999999,English,"Cambridge University Press; 4th edition (July 7, 2022)"
R For Dummies,Andrie de Vries and Joris Meys,17.99, 11.36 - 17.99 ,432,4.4,493,66,22,8,2,3,1213.9,0.7529633342000001,English,"For Dummies; 2nd edition (July 7, 2015)"
Excel Dashboards & Reports For Dummies (For Dummies (Computer/Tech)),Michael Alexander,28.49, 28.21 - 28.49 ,384,4.4,10,86,14,0,0,0,973.2,0.4989516070000001,English,"For Dummies; 4th edition (March 18, 2022)"
"Spectrum Grades 6-8 Data Analysis & Probability Workbook—6th-8th Grade State Standards for Calculating Statistics, Probabilities, and Graph Data for Homeschool or Classroom (128 pgs)",Not Provided,25.0,25,128,4.6,142,76,13,6,2,3,463.2,0.280660248,English,"Spectrum; Workbook edition (February 25, 2015)"
Decisions Over Decimals: Striking the Balance between Intuition and Information,"Paul F. Magnone, Christopher J. Frank, et al.",31.3, 30.99 - 31.30 ,256,4.9,28,95,5,0,0,0,1017.0,0.45359237,English,"Wiley; 1st edition (October 4, 2022)"
Excel 2023: The Ultimate Guide For Beginners To Become An Excel Master To Organize And Boost Your Productivity| Learn in Less Than 10 Minutes per Day With Step-by-step Pictures Tutorials,Arthur Fletcher,12.99,12.99,129,4.7,187,76,20,1,2,1,265.5,0.25514568,English,"Independently published (November 14, 2022)"
Multilevel and Longitudinal Modeling with IBM SPSS (Quantitative Methodology Series),"Ronald H. Heck, Scott L. Thomas, et al.",56.95, 54.24 - 56.95 ,484,0,0,0,0,0,0,0,1672.7,0.9117206636999999,English,"Routledge; 3rd edition (April 12, 2022)"
Talent Intelligence: Use Business and People Data to Drive Organizational Performance,Toby Culshaw,41.99,41.99,256,5.0,4,100,0,0,0,0,710.5,0.39972823199999996,English,"Kogan Page; 1st edition (October 25, 2022)"
Time Series: A Data Analysis Approach Using R (Chapman & Hall/CRC Texts in Statistical Science),Not Provided,57.34, 23.65 - 57.34 ,271,4.1,16,58,20,9,14,0,,,English,"Chapman and Hall/CRC; 1st edition (May 17, 2019)"
Fundamentals of Music Processing: Using Python and Jupyter Notebooks,Meinard Müller,77.07,77.07,526,5.0,3,100,0,0,0,0,1321.6,1.0976935354,English,"Springer; 2nd ed. 2021 edition (April 10, 2021)"
Statistics for the Trading Floor: Data Science for Investing (For The Trading Floor Series),Not Provided,27.99,27.99,306,4.3,72,67,15,4,6,8,726.9,0.4944156833000001,English,"Independently published (May 14, 2020)"
The Model Thinker: What You Need to Know to Make Data Work for You,"Scott E. Page, Jamie Renell, et al.",0,0,0,4.5,463,68,20,6,3,2,,,Not_Stated,Not Provided
Data Science Foundations Tools and Techniques (Addison-Wesley Data & Analytics Series),Not Provided,28.99,28.99,384,4.4,57,67,22,6,6,0,,,English,"Addison-Wesley Professional; 1st edition (November 23, 2018)"
An Introduction to Categorical Data Analysis,Alan Agresti,121.99, 28.97 - 121.99 ,400,4.4,54,69,13,11,3,5,975.4,0.6894604024000001,English,"Wiley-Interscience; 2nd edition (March 23, 2007)"
Data-Driven Organization Design: Delivering Perpetual Performance Gains Through the Organizational System,Rupert Morrison,48.17, 46.95 - 48.17 ,440,5.0,4,100,0,0,0,0,906.1,0.7393555631,English,"Kogan Page; 2nd edition (October 26, 2021)"
"Python for Data Science: A Crash Course for Data Science and Analysis, Python Machine Learning and Big Data",Computer Science Academy,0,0,147,4.2,16,52,21,27,0,0,,,English,Not Provided
Supervised Machine Learning for Text Analysis in R (Chapman & Hall/CRC Data Science Series),Not Provided,43.52,43.52,402,4.5,12,69,19,12,0,0,843.3,0.7438914868,English,"Chapman and Hall/CRC; 1st edition (October 22, 2021)"
Statistical Analysis with Excel For Dummies (For Dummies (Computer/Tech)),Joseph Schmuller,22.49,22.49,576,4.0,19,50,21,16,12,0,1454.3,0.7257477920000001,English,"For Dummies; 5th edition (December 30, 2021)"
Think Stats: Exploratory Data Analysis,Allen B. Downey,25.49,25.49,226,4.2,137,65,15,7,6,7,537.6,0.39972823199999996,English,"O'Reilly Media; 2nd edition (November 11, 2014)"
